Entry,Entry name,Gene names,Protein families
O15156,ZBT7B_HUMAN,ZBTB7B ZBTB15 ZFP67 ZNF857B,
Q15697,ZN174_HUMAN,ZNF174 ZSCAN8,Krueppel C2H2-type zinc-finger protein family
O15209,ZBT22_HUMAN,ZBTB22 BING1 ZBTB22A ZNF297,Krueppel C2H2-type zinc-finger protein family
O60315,ZEB2_HUMAN,ZEB2 KIAA0569 SIP1 ZFHX1B ZFX1B HRIHFB2411,Delta-EF1/ZFH-1 C2H2-type zinc-finger family
Q9H5U6,ZCHC4_HUMAN,ZCCHC4,ZCCHC4 family
Q8N402,YV020_HUMAN,,
Q9H0C1,ZMY12_HUMAN,ZMYND12,
Q96C55,ZN524_HUMAN,ZNF524,Krueppel C2H2-type zinc-finger protein family
Q96JG9,ZN469_HUMAN,ZNF469 KIAA1858,Krueppel C2H2-type zinc-finger protein family
Q9H7M9,VISTA_HUMAN,VSIR C10orf54 SISP1 VISTA PP2135 UNQ730/PRO1412,
Q7Z5K2,WAPL_HUMAN,WAPL FOE KIAA0261 WAPAL,WAPL family
Q6UXN9,WDR82_HUMAN,WDR82 TMEM113 WDR82A UNQ9342/PRO34047,WD repeat SWD2 family
Q6RFH5,WDR74_HUMAN,WDR74 NSA1,
O14980,XPO1_HUMAN,XPO1 CRM1,Exportin family
Q96EC8,YIPF6_HUMAN,YIPF6,YIP1 family
Q0VFX4,YL016_HUMAN,,
Q8NA96,YE027_HUMAN,,
Q8TF47,ZFP90_HUMAN,ZFP90 KIAA1954 ZNF756,Krueppel C2H2-type zinc-finger protein family
Q5D1E8,ZC12A_HUMAN,ZC3H12A MCPIP MCPIP1,ZC3H12 family
Q9UJW7,ZN229_HUMAN,ZNF229,Krueppel C2H2-type zinc-finger protein family
Q6ZTC4,YT009_HUMAN,,
O75820,ZN189_HUMAN,ZNF189,Krueppel C2H2-type zinc-finger protein family
Q99676,ZN184_HUMAN,ZNF184,Krueppel C2H2-type zinc-finger protein family
Q15776,ZKSC8_HUMAN,ZKSCAN8 ZNF192,Krueppel C2H2-type zinc-finger protein family
Q8TCH9,YV004_HUMAN,,
Q6ZQY7,YO026_HUMAN,,
Q8TBZ8,ZN564_HUMAN,ZNF564,Krueppel C2H2-type zinc-finger protein family
O60304,ZN500_HUMAN,ZNF500 KIAA0557 ZKSCAN18,Krueppel C2H2-type zinc-finger protein family
Q8N8E2,ZN513_HUMAN,ZNF513,Krueppel C2H2-type zinc-finger protein family
Q92610,ZN592_HUMAN,ZNF592 KIAA0211,Krueppel C2H2-type zinc-finger protein family
O15014,ZN609_HUMAN,ZNF609 KIAA0295,
Q9UM01,YLAT1_HUMAN,SLC7A7,"Amino acid-polyamine-organocation (APC) superfamily, L-type amino acid transporter (LAT) (TC 2.A.3.8) family"
Q07157,ZO1_HUMAN,TJP1 ZO1,MAGUK family
O43309,ZSC12_HUMAN,ZSCAN12 KIAA0426 ZNF305 ZNF96,Krueppel C2H2-type zinc-finger protein family
Q6NSZ9,ZSC25_HUMAN,ZSCAN25 ZNF498,Krueppel C2H2-type zinc-finger protein family
Q9UHR6,ZNHI2_HUMAN,ZNHIT2 C11orf5,
Q86W11,ZSC30_HUMAN,ZSCAN30 ZNF397OS,Krueppel C2H2-type zinc-finger protein family
Q9Y5A6,ZSC21_HUMAN,ZSCAN21 ZFP38 ZNF38,Krueppel C2H2-type zinc-finger protein family
Q9P2E3,ZNFX1_HUMAN,ZNFX1 KIAA1404,
A0A0U1RRA0,ZNOS_HUMAN,ZNF593OS,
O14863,ZNT4_HUMAN,SLC30A4 ZNT4,"Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, SLC30A subfamily"
Q9NX65,ZSC32_HUMAN,ZSCAN32 ZNF434 HCCS5,Krueppel C2H2-type zinc-finger protein family
Q6PML9,ZNT9_HUMAN,SLC30A9 C4orf1 HUEL,"Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, SLC30A subfamily"
P0CG00,ZSA5D_HUMAN,ZSCAN5DP ZSCAN5D,
B4DU55,ZN879_HUMAN,ZNF879,Krueppel C2H2-type zinc-finger protein family
Q8NCK3,ZN485_HUMAN,ZNF485,Krueppel C2H2-type zinc-finger protein family
Q2M1K9,ZN423_HUMAN,ZNF423 KIAA0760 NPHP14 OAZ,Krueppel C2H2-type zinc-finger protein family
Q5T5D7,ZN684_HUMAN,ZNF684,Krueppel C2H2-type zinc-finger protein family
Q8WTZ3,YS049_HUMAN,,
Q9NQZ8,ZNF71_HUMAN,ZNF71 EZFIT,Krueppel C2H2-type zinc-finger protein family
Q96F44,TRI11_HUMAN,TRIM11 RNF92,TRIM/RBCC family
Q8TBZ6,TM10A_HUMAN,TRMT10A RG9MTD2,"Class IV-like SAM-binding methyltransferase superfamily, TRM10 family"
Q9Y5R8,TPPC1_HUMAN,TRAPPC1 BET5 MUM2,"TRAPP small subunits family, BET5 subfamily"
Q9UL52,TM11E_HUMAN,TMPRSS11E DESC1 TMPRSS11E2 UNQ742/PRO1461,Peptidase S1 family
P01374,TNFB_HUMAN,LTA TNFB TNFSF1,Tumor necrosis factor family
Q99973,TEP1_HUMAN,TEP1 TLP1 TP1,
Q6UX40,TM107_HUMAN,TMEM107 DC20 UNQ638/PRO1268,
P67936,TPM4_HUMAN,TPM4,Tropomyosin family
Q9BSN7,TM204_HUMAN,TMEM204 C16orf30 CLP24 UNQ6509/PRO21434,
Q7L0Y3,TM10C_HUMAN,TRMT10C MRPP1 RG9MTD1,"Class IV-like SAM-binding methyltransferase superfamily, TRM10 family"
Q9BTD3,TM121_HUMAN,TMEM121 HHOLE,TMEM121 family
Q9BRJ7,TIRR_HUMAN,NUDT16L1 SDOS TIRR,"Nudix hydrolase family, TIRR subfamily"
P16035,TIMP2_HUMAN,TIMP2,Protease inhibitor I35 (TIMP) family
Q9Y5S1,TRPV2_HUMAN,TRPV2 VRL,"Transient receptor (TC 1.A.4) family, TrpV subfamily, TRPV2 sub-subfamily"
A0A0C4DH27,TRGV8_HUMAN,TRGV8 TCRGV8,
Q9BZD6,TMG4_HUMAN,PRRG4 PRGP4 TMG4,Commissureless family
Q7Z4N2,TRPM1_HUMAN,TRPM1 LTRPC1 MLSN MLSN1,"Transient receptor (TC 1.A.4) family, LTrpC subfamily, TRPM1 sub-subfamily"
Q96H15,TIMD4_HUMAN,TIMD4 TIM4,"Immunoglobulin superfamily, TIM family"
Q8TD43,TRPM4_HUMAN,TRPM4 LTRPC4,"Transient receptor (TC 1.A.4) family, LTrpC subfamily, TRPM4 sub-subfamily"
Q9UBN4,TRPC4_HUMAN,TRPC4,"Transient receptor (TC 1.A.4) family, STrpC subfamily, TRPC4 sub-subfamily"
Q9HCX4,TRPC7_HUMAN,TRPC7 TRP7,"Transient receptor (TC 1.A.4) family, STrpC subfamily, TRPC7 sub-subfamily"
Q16831,UPP1_HUMAN,UPP1 UP,PNP/UDP phosphorylase family
Q6DKK2,TTC19_HUMAN,TTC19,TTC19 family
Q96NA8,TSNA1_HUMAN,TSNARE1,
Q8TAS1,UHMK1_HUMAN,UHMK1 KIS KIST,"Protein kinase superfamily, Ser/Thr protein kinase family"
Q9UJK0,TSR3_HUMAN,TSR3 C16orf42 UND313L,"TDD superfamily, TSR3 family"
Q9BZX2,UCK2_HUMAN,UCK2 UMPK,Uridine kinase family
C9J7I0,UMAD1_HUMAN,UMAD1 RPA3-AS1 RPA3OS,
Q6PKC3,TXD11_HUMAN,TXNDC11 EFP1,Protein disulfide isomerase family
O75841,UPK1B_HUMAN,UPK1B TSPAN20,Tetraspanin (TM4SF) family
Q7Z7E8,UB2Q1_HUMAN,UBE2Q1 NICE5 UBE2Q PRO3094,Ubiquitin-conjugating enzyme family
Q70CQ4,UBP31_HUMAN,USP31 KIAA1203,Peptidase C19 family
O95847,UCP4_HUMAN,SLC25A27 UCP4 UNQ772/PRO1566,Mitochondrial carrier (TC 2.A.29) family
Q9P2H5,UBP35_HUMAN,USP35 KIAA1372 USP34,Peptidase C19 family
Q13107,UBP4_HUMAN,USP4 UNP UNPH,"Peptidase C19 family, USP4 subfamily"
Q70EL2,UBP45_HUMAN,USP45,Peptidase C19 family
P37288,V1AR_HUMAN,AVPR1A AVPR1,"G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily"
Q8N0U8,VKORL_HUMAN,VKORC1L1,VKOR family
P55060,XPO2_HUMAN,CSE1L CAS XPO2,XPO2/CSE1 family
O00401,WASL_HUMAN,WASL,
Q9UHU1,YK039_HUMAN,PRO1716,
Q9Y5A9,YTHD2_HUMAN,YTHDF2 HGRG8,"YTHDF family, YTHDF2 subfamily"
Q8WVZ1,ZDH19_HUMAN,ZDHHC19,DHHC palmitoyltransferase family
Q92670,ZN75C_HUMAN,ZNF75CP ZNF75C,Krueppel C2H2-type zinc-finger protein family
Q9C0D4,Z518B_HUMAN,ZNF518B KIAA1729,Krueppel C2H2-type zinc-finger protein family
P0CJ78,ZN865_HUMAN,ZNF865,Krueppel C2H2-type zinc-finger protein family
Q9H869,YYAP1_HUMAN,YY1AP1 HCCA2 YY1AP,
Q96N77,ZN641_HUMAN,ZNF641,Krueppel C2H2-type zinc-finger protein family
P35916,VGFR3_HUMAN,FLT4 VEGFR3,"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"
Q8NHE4,VA0E2_HUMAN,ATP6V0E2 ATP6V0E2L C7orf32,V-ATPase e1/e2 subunit family
O95231,VENTX_HUMAN,VENTX HPX42B VENTX2,
A0A1B0GTU1,ZC11B_HUMAN,ZC3H11B ZC3HDC11B,
P22309,UD11_HUMAN,UGT1A1 GNT1 UGT1,UDP-glycosyltransferase family
Q9Y484,WIPI4_HUMAN,WDR45 WDRX1 WDRXI4 WIPI4 JM5,WD repeat PROPPIN family
Q96S55,WRIP1_HUMAN,WRNIP1 WHIP,"AAA ATPase family, RarA/MGS1/WRNIP1 subfamily"
Q9NYH9,UTP6_HUMAN,UTP6 C17orf40 HCA66 MHAT,UTP6 family
P63125,VPK25_HUMAN,ERVK-25,"Peptidase A2 family, HERV class-II K(HML-2) subfamily"
Q8TAG5,VTM2A_HUMAN,VSTM2A VSTM2,
P56705,WNT4_HUMAN,WNT4 UNQ426/PRO864,Wnt family
O75083,WDR1_HUMAN,WDR1,WD repeat AIP1 family
Q6P2D8,XRRA1_HUMAN,XRRA1,
Q5JTN6,WDR38_HUMAN,WDR38,
Q9H0M0,WWP1_HUMAN,WWP1,
Q8NEZ2,VP37A_HUMAN,VPS37A HCRP1,VPS37 family
O60281,ZN292_HUMAN,ZNF292 KIAA0530,Krueppel C2H2-type zinc-finger protein family
Q8N0Z9,VSI10_HUMAN,VSIG10,
Q4G0F5,VP26B_HUMAN,VPS26B,VPS26 family
Q7Z5U6,WDR53_HUMAN,WDR53,WD repeat WDR53 family
Q9UIA9,XPO7_HUMAN,XPO7 KIAA0745 RANBP16,Exportin family
Q96QU8,XPO6_HUMAN,XPO6 KIAA0370 RANBP20,Exportin family
Q6N043,Z280D_HUMAN,ZNF280D KIAA1584 SUHW4 ZNF634,
Q9H9D4,ZN408_HUMAN,ZNF408 PFM14 PRDM17,
Q8NI36,WDR36_HUMAN,WDR36,
P49754,VPS41_HUMAN,VPS41,VPS41 family
Q96MM3,ZFP42_HUMAN,ZFP42 REX1 ZNF754,Krueppel C2H2-type zinc-finger protein family
Q8NEM1,ZN680_HUMAN,ZNF680,Krueppel C2H2-type zinc-finger protein family
Q8NEZ3,WDR19_HUMAN,WDR19 IFT144 KIAA1638,
Q9NQH7,XPP3_HUMAN,XPNPEP3,Peptidase M24B family
P0DKX0,ZN728_HUMAN,ZNF728,
Q9ULD5,ZN777_HUMAN,ZNF777 KIAA1285,Krueppel C2H2-type zinc-finger protein family
Q9Y2L8,ZKSC5_HUMAN,ZKSCAN5 KIAA1015 ZFP95,Krueppel C2H2-type zinc-finger protein family
O95498,VNN2_HUMAN,VNN2,"Carbon-nitrogen hydrolase superfamily, BTD/VNN family"
P98170,XIAP_HUMAN,XIAP API3 BIRC4 IAP3,IAP family
Q7L3S4,ZN771_HUMAN,ZNF771,Krueppel C2H2-type zinc-finger protein family
Q68EA5,ZNF57_HUMAN,ZNF57 ZNF424,Krueppel C2H2-type zinc-finger protein family
Q9NUE0,ZDH18_HUMAN,ZDHHC18,"DHHC palmitoyltransferase family, ERF2/ZDHHC9 subfamily"
Q86SH2,ZAR1_HUMAN,ZAR1,ZAR1 family
Q9UJ78,ZMYM5_HUMAN,ZMYM5 ZNF198L1 ZNF237 HSPC050,
Q9H963,ZN702_HUMAN,ZNF702P ZNF702,Krueppel C2H2-type zinc-finger protein family
Q9C0F3,ZN436_HUMAN,ZNF436 KIAA1710,Krueppel C2H2-type zinc-finger protein family
P17028,ZNF24_HUMAN,ZNF24 KOX17 ZNF191 ZSCAN3,Krueppel C2H2-type zinc-finger protein family
Q17R98,ZN827_HUMAN,ZNF827,Krueppel C2H2-type zinc-finger protein family
Q96I27,ZN625_HUMAN,ZNF625,Krueppel C2H2-type zinc-finger protein family
Q3SXZ3,ZN718_HUMAN,ZNF718,
Q9BRX5,PSF3_HUMAN,GINS3 PSF3,GINS3/PSF3 family
P25105,PTAFR_HUMAN,PTAFR PAFR,G-protein coupled receptor 1 family
P47914,RL29_HUMAN,RPL29,Eukaryotic ribosomal protein eL29 family
O95150,TNF15_HUMAN,TNFSF15 TL1 VEGI,Tumor necrosis factor family
P48023,TNFL6_HUMAN,FASLG APT1LG1 CD95L FASL TNFSF6,Tumor necrosis factor family
P56180,TPTE_HUMAN,TPTE,
P09493,TPM1_HUMAN,TPM1 C15orf13 TMSA,Tropomyosin family
P0DTU3,TRAR2_HUMAN,TRA,
A6NML5,TM212_HUMAN,TMEM212,
Q96B77,TM186_HUMAN,TMEM186 C16orf51,TMEM186 family
O00300,TR11B_HUMAN,TNFRSF11B OCIF OPG,
Q9NXH9,TRM1_HUMAN,TRMT1,"Class I-like SAM-binding methyltransferase superfamily, Trm1 family"
Q9UPQ4,TRI35_HUMAN,TRIM35 HLS5 KIAA1098,TRIM/RBCC family
Q5T0D9,TPRGL_HUMAN,TPRG1L FAM79A MOVER,TPRG1 family
A0A5B9,TRBC2_HUMAN,TRBC2 TCRBC2,
A2RRL7,TM213_HUMAN,TMEM213,
P20333,TNR1B_HUMAN,TNFRSF1B TNFBR TNFR2,
Q02223,TNR17_HUMAN,TNFRSF17 BCM BCMA,
Q9Y4G6,TLN2_HUMAN,TLN2 KIAA0320,
O14669,TMG2_HUMAN,PRRG2 PRGP2 TMG2,
O75896,TUSC2_HUMAN,TUSC2 C3orf11 FUS1 LGCC PDAP2,TUSC2 family
Q5TGU0,TSPO2_HUMAN,TSPO2 BZRPL1,TspO/BZRP family
Q9H892,TTC12_HUMAN,TTC12,
Q5SRH9,TT39A_HUMAN,TTC39A C1orf34 KIAA0452,TTC39 family
Q3KQV9,UAP1L_HUMAN,UAP1L1,UDPGP type 1 family
P62328,TYB4_HUMAN,TMSB4X TB4X THYB4 TMSB4,Thymosin beta family
Q9NUW8,TYDP1_HUMAN,TDP1,Tyrosyl-DNA phosphodiesterase family
Q96J42,TXD15_HUMAN,TXNDC15 C5orf14 UNQ335/PRO534,
Q92995,UBP13_HUMAN,USP13 ISOT3,Peptidase C19 family
Q6IBS0,TWF2_HUMAN,TWF2 PTK9L MSTP011,"Actin-binding proteins ADF family, Twinfilin subfamily"
P35504,UD15_HUMAN,UGT1A5 GNT1 UGT1,UDP-glycosyltransferase family
Q86T82,UBP37_HUMAN,USP37 KIAA1594,Peptidase C19 family
Q9UMX0,UBQL1_HUMAN,UBQLN1 DA41 PLIC1,
P23763,VAMP1_HUMAN,VAMP1 SYB1,Synaptobrevin family
Q5DID0,UROL1_HUMAN,UMODL1,
Q9UPY6,WASF3_HUMAN,WASF3 KIAA0900 SCAR3 WAVE3,SCAR/WAVE family
Q9BRX9,WDR83_HUMAN,WDR83 MORG1,WD repeat MORG1 family
A8MTW9,YB043_HUMAN,,
Q5BJH7,YIF1B_HUMAN,YIF1B PP4519 UNQ3073/PRO9905,YIF1 family
Q8N393,ZN786_HUMAN,ZNF786,Krueppel C2H2-type zinc-finger protein family
Q9H0M4,ZCPW1_HUMAN,ZCWPW1,
P16415,ZN823_HUMAN,ZNF823 ZFP36,Krueppel C2H2-type zinc-finger protein family
Q96FA7,ZB6CL_HUMAN,ZBED6CL C7orf29,
P25311,ZA2G_HUMAN,AZGP1 ZAG ZNGP1,MHC class I family
Q8N782,ZN525_HUMAN,ZNF525 KIAA1979,Krueppel C2H2-type zinc-finger protein family
Q9Y462,ZN711_HUMAN,ZNF711 CMPX1 ZNF6,Krueppel C2H2-type zinc-finger protein family
Q9UII5,ZN107_HUMAN,ZNF107 ZFD25 ZNF588,Krueppel C2H2-type zinc-finger protein family
Q96TA2,YMEL1_HUMAN,YME1L1 FTSH1 YME1L UNQ1868/PRO4304,AAA ATPase family; Peptidase M41 family
O75123,ZN623_HUMAN,ZNF623 KIAA0628,Krueppel C2H2-type zinc-finger protein family
Q7Z5H4,VN1R5_HUMAN,VN1R5 V1RL5,G-protein coupled receptor 1 family
Q96G27,WBP1_HUMAN,WBP1,
Q6ZVH6,YK004_HUMAN,,
Q6ZSR9,YJ005_HUMAN,,
Q9UL59,ZN214_HUMAN,ZNF214 BAZ1,Krueppel C2H2-type zinc-finger protein family
Q5W0Z9,ZDH20_HUMAN,ZDHHC20,DHHC palmitoyltransferase family
Q7L2R6,ZN765_HUMAN,ZNF765,Krueppel C2H2-type zinc-finger protein family
P21506,ZNF10_HUMAN,ZNF10 KOX1,Krueppel C2H2-type zinc-finger protein family
Q96M66,YP010_HUMAN,,
Q6ZTB9,ZN833_HUMAN,ZNF833P ZNF833,
Q96C28,ZN707_HUMAN,ZNF707,Krueppel C2H2-type zinc-finger protein family
Q5VZL5,ZMYM4_HUMAN,ZMYM4 KIAA0425 ZNF262,
Q6ZNG0,ZN620_HUMAN,ZNF620,Krueppel C2H2-type zinc-finger protein family
Q9ULD9,ZN608_HUMAN,ZNF608 KIAA1281,
Q96NL3,ZN599_HUMAN,ZNF599,Krueppel C2H2-type zinc-finger protein family
P51522,ZNF83_HUMAN,ZNF83 ZNF816B,Krueppel C2H2-type zinc-finger protein family
Q8ND25,ZNRF1_HUMAN,ZNRF1 NIN283,
Q8NGI6,OR4DA_HUMAN,OR4D10 OR4D10P,G-protein coupled receptor 1 family
O75832,PSD10_HUMAN,PSMD10,
Q9BZG2,PPAT_HUMAN,ACP4 ACPT,Histidine acid phosphatase family
A5PKW4,PSD1_HUMAN,PSD EFA6 EFA6A KIAA2011 PSD1 TYL,PSD family
P31939,PUR9_HUMAN,ATIC PURH OK/SW-cl.86,PurH family
O95758,PTBP3_HUMAN,PTBP3 ROD1,
Q8TBF2,PXL2B_HUMAN,PRXL2B C1orf93 FAM213B,"Peroxiredoxin-like PRXL2 family, Prostamide/prostaglandin F synthase subfamily"
Q9NRI6,PYY2_HUMAN,PYY2,NPY family
Q8WXC3,PYDC1_HUMAN,PYDC1 ASC2 ASCI POP1 PYC1,
Q96PZ0,PUS7_HUMAN,PUS7 KIAA1897,Pseudouridine synthase TruD family
Q9BZE2,PUS3_HUMAN,PUS3 FKSG32,TRNA pseudouridine synthase TruA family
O95980,RECK_HUMAN,RECK ST15,RECK family
Q9NS91,RAD18_HUMAN,RAD18 RNF73,RAD18 family
P51159,RB27A_HUMAN,RAB27A RAB27,"Small GTPase superfamily, Rab family"
Q6MZT1,R7BP_HUMAN,RGS7BP R7BP,RGS7BP/RGS9BP family
Q8N4Z0,RAB42_HUMAN,RAB42,"Small GTPase superfamily, Rab family"
Q9H082,RB33B_HUMAN,RAB33B,"Small GTPase superfamily, Rab family"
Q9Y3P9,RBGP1_HUMAN,RABGAP1 HSPC094,
Q32P51,RA1L2_HUMAN,HNRNPA1L2 HNRNPA1L,
Q96S21,RB40C_HUMAN,RAB40C RARL RASL8C,"Small GTPase superfamily, Rab family"
Q96NR8,RDH12_HUMAN,RDH12 SDR7C2,Short-chain dehydrogenases/reductases (SDR) family
Q9Y2K5,R3HD2_HUMAN,R3HDM2 KIAA1002,
A6NED2,RCCD1_HUMAN,RCCD1,
Q969Q5,RAB24_HUMAN,RAB24,"Small GTPase superfamily, Rab family"
P20336,RAB3A_HUMAN,RAB3A,"Small GTPase superfamily, Rab family"
Q6NUK4,REEP3_HUMAN,REEP3 C10orf74,DP1 family
Q9H902,REEP1_HUMAN,REEP1 C2orf23 SPG31,DP1 family
Q9Y3P4,RHBD3_HUMAN,RHBDD3 C22orf3,
Q9H1A7,RPB1C_HUMAN,POLR2J3,Archaeal Rpo11/eukaryotic RPB11/RPC19 RNA polymerase subunit family
Q6ZUM4,RHG27_HUMAN,ARHGAP27 CAMGAP1 SH3D20 PP905,
Q6NW40,RGMB_HUMAN,RGMB,Repulsive guidance molecule (RGM) family
Q5TAB7,RIPP2_HUMAN,RIPPLY2 C6orf159,Ripply family
Q9HB40,RISC_HUMAN,SCPEP1 RISC SCP1 MSTP034 UNQ265/PRO302,Peptidase S10 family
Q9UNX3,RL26L_HUMAN,RPL26L1 RPL26P1,Universal ribosomal protein uL24 family
P62829,RL23_HUMAN,RPL23,Universal ribosomal protein uL14 family
Q969S9,RRF2M_HUMAN,GFM2 EFG2 MSTP027,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-G/EF-2 subfamily"
Q96E11,RRFM_HUMAN,MRRF,RRF family
O14543,SOCS3_HUMAN,SOCS3 CIS3 SSI3,
P57768,SNX16_HUMAN,SNX16,Sorting nexin family
Q8NB12,SMYD1_HUMAN,SMYD1,Class V-like SAM-binding methyltransferase superfamily
P53814,SMTN_HUMAN,SMTN SMSMO,Smoothelin family
Q68CJ6,SLIP_HUMAN,NUGGC C8orf80 HMFN0672,
P51531,SMCA2_HUMAN,SMARCA2 BAF190B BRM SNF2A SNF2L2,SNF2/RAD54 helicase family
Q8NBJ7,SUMF2_HUMAN,SUMF2 PSEC0171 UNQ1968/PRO4500,Sulfatase-modifying factor family
P0CL85,ST3L3_HUMAN,STAG3L3,SCC3 family
Q9P2F5,STOX2_HUMAN,STOX2 KIAA1392,
Q9UH99,SUN2_HUMAN,SUN2 FRIGG KIAA0668 RAB5IP UNC84B,
Q6ZMT1,STAC2_HUMAN,STAC2,
Q9P2R7,SUCB1_HUMAN,SUCLA2,"Succinate/malate CoA ligase beta subunit family, ATP-specific subunit beta subfamily"
M5A8F1,SUPYN_HUMAN,ERVH48-1 C21orf105 HERV-Fb1 NDUFV3-AS1,
Q9BX79,STRA6_HUMAN,STRA6 PP14296 UNQ3126/PRO10282/PRO19578,
P51692,STA5B_HUMAN,STAT5B,Transcription factor STAT family
Q99619,SPSB2_HUMAN,SPSB2 GRCC9 SSB2,SPSB family
Q9NQZ5,STAR7_HUMAN,STARD7 GTT1,
P49223,SPIT3_HUMAN,SPINT3,
Q9UGT4,SUSD2_HUMAN,SUSD2,
Q08AE8,SPIR1_HUMAN,SPIRE1 KIAA1135 SPIR1,Spire family
